S. No.,text,task_1
2864,হাহি ' ধেমালী কৰা ছোৱালী জনিৰ নামেই (  বৰষ্যা ),NOT
2865,তাইৰ মোচনবোৰ বাপৰে হাতীৰ পোৱালিতো তাই নিজকে কেঁচুৱা বুলি ভাবে,HOF
2866,কেচ নহয় ঘোলা কনী দলিয়াৱ গাত।,HOF
2867,ভাই তুমি কিয় ভিডিঅ নিদিয়া। সদায় দিবা ভিডিঅ কেলা।,NOT
2868,তাইকো মাৰিব লগে,HOF
2869,"Das -সকলৰ নিজৰে অস্তিত্ব নাই, কিন্তু মুছলমানকলৈ বহুত ডাঙৰ ডাঙৰ কথা কয় ! ",HOF
2870,আইমী বৰুৱা নহয় আইমী হাজৰিকা বুলি কৱ,NOT
2871,পিচ পিচ কৰিবা লাগে,HOF
2872,কোনে কোনে টেঙা নিদিব,HOF
2873,চাৰ আপোনাৰ মাত টো বহী গৈছে,NOT
2874,প্ৰিয়ংকা এগৰাকী শ্ৰেষ্ঠ সমীছ অভিনেতা,HOF
2875,বনৰ পক্ষী 🤣🤣,HOF
2876,অকল লুঙিগ বাহিনী ধৰষনকাৰী নহয় ।,HOF
2877,ৰাভা সাহিত্য সভাত গৈছিলোঁ তোমাক লগ নাপালোঁ।,NOT
2878,ভালেই হৈছে ভোট জলকীয়া দুটা মান বুকুত ভাঙি দিব লাগে,HOF
2879,মোকো এনেকৈ ফটো উঠিবলৈ টনা-আঁজোৰা কৰিব বুলিহে বিমানত নাযাওঁ 🙈কিয়া বুলি ভাবতা হায়🤣,NOT
2880,"নাৰীক সন্মান কৰিবলৈ শিক মক্কেল,,",HOF
2881,জুই দিছা ভাই,NOT
2882,মই হাঁহিৰাম,NOT
2883,দহদিনমান দাঁত ব্ৰাছ কৰি নোপোৱা এইটো কৰ গুচেলেকা কুকুৰ,HOF
2884,আপোনাক সদায় মই বুলিয়ে নহয় সকলোৱে  শ্ৰদ্ধা কৰে । সন্মান আৰু আদৰ্শ হিচাপে মই লওঁ । আপোনাৰ কথাই মোক অনুপ্ৰাণিত কৰে । এজন ভাল মানুহ হ'বলৈ প্ৰেৰণা যোগাই । আৰু  এই ক্ষেত্ৰত মই আপোনাক বেয়া বুলি নাভাবো । মোক যদি কোনোবাই সোধে তোমাৰ জীৱনৰ আদৰ্শ ব্যক্তি কোন ? তেতিয়া মোৰ উত্তৰ হব   আপুনি অৰ্থাৎ নিতুমণি ছাৰ । আপুনি সদায় মোৰ এজন প্রিয় ব্যক্তি হৈয়ে ৰব ।,NOT
2885,লেবাৰ আৰু মিষ্ট্ৰিৰ অফৰ দিলে বেছি চলিব,NOT
2886,সকলোৱে নহয় বাও। আমি ৱোৰ যেন পায়খানা কৰোতে পাৰি লোৱা গঢ় হে😂😂😂😂,HOF
2887,"মিঞা বা গেদা বুলি কলে লাজ লাগে কিন্তু ধৰ্ষণ কাৰি, চোৰ ডকাইত বুলি কলে লাজ নাপা ,ইয়ো এটা জাতি।",HOF
2888,মুঠ আপ সমৰ্থক--৮০% মিঞা( তাৰে ৫০% ফেক নামত কমেণ্ট দিয়ে বাকী ৩০% নিজ নামত) গ'ল ৮০% মিঞা। বাকী থাকিল ২০% বদন( এইকেইটা হ'ল কংগ্ৰেছ অখিল সমৰ্থক),HOF
2889,ইয়াক অতি  সোনকালেই ফাঁচী  দিয়া ব্যৱস্থা কৰক,HOF
2890,অসমৰ মেদিয়া,HOF
2891,চোৰ আপুনিহে ডাঙৰীয়া ।,HOF
2892,অংক আৰু বিজ্ঞান ইংৰাজীত কৰিছে একো বেয়া কাম কৰা নাই আমাৰ অসমীয়া ভাষাটো বা মাতৃভাষা  বিষয়টো আঁতৰাই টো দিয়া নাই যদি অসমীয়া বিষয় টো উঠাই দিয়া হৈ তেতিয়া এনেদৰে আলোচনা কৰাটো যুক্তিসংগত বা দৰকাৰ হলে আন্দোলন কৰিব লাগিব যিহেতু LP স্কুলৰ পৰাই এই দুটা বিষয় ইংৰাজীত কৰিছে যাৰ কাৰণে,NOT
2893,"😒 মনে মনে চালে ছবেই ভাল , ",NOT
2894,কাৰণ সিহঁতেও তোমাক কৰোঁ বুলি একো কৰা নাছিল মাত্ৰ এটা ধেমালি কৰিব খুজিছিল ।,NOT
2895,ইয়াক বলিযা কুকুৰে কামুৰিলে,HOF
2896,গোপিনাথ বরদৈল একজন অসাধারণ মানুষ ছিলেন। ওনার বিরুদ্ধে কোন আজে বাজে মন্তব্য করা উচিত নয়।,HOF
2897,দম নাই,HOF
2898,ঠগিৰাম এইটো ঠগি ঠগি খা নেতা গিৰি দেখাই লাভ নাই বেছি কৰিলে থাই ছিগা বেঙেনা হবি,HOF
2899,কোনোবাদিনা গাৰ ছাল খন এৰুৱাই নিপিন্ধিলে হে ৰক্ষা !!,HOF
2900,গেদা লুঙি তলত গেদাৰ হেৰী ডাল চুপি থাক,HOF
2901,পৃথিৱীত এনেকুৱা কোনো অপৰাধ নাই যে তোমালোকে কৰিবলৈ বাদ থৈছা ।,HOF
2902,আমি অসমীয়া জিতি সকলোৱে লʼগ হৈ মিয়াক মাৰু আহক,HOF
2903,"আমাৰ  অসম চৰকৰৰ চকু কেতিয়া খোল খাব,,কেতিয়া অসমৰ ৰাইজে কেজৰীৱালৰ দৰে এজন মুখ্যমন্ত্ৰী পাব?",HOF
2904,"মাধ্যম' বিষয়টো চাগৈ আমাৰ অসমতেই বেছিকৈ হৈ চৈ কৰে, আন ৰাজ্যৰ বিষয়ে অভিজ্ঞতা নাই অৱশ্যে । ",NOT
2905,কাম নাই বনৰী,HOF
2906,", আপুনি মতকৈ ডাঙৰ নে সৰু মই নাজানো আপোনাৰ জাতি প্ৰেমে মক মুগ্ধ কৰিছে,,, আমি অসমীয়া হয়,,,",HOF
2907,এইটো নতুন concept নহয়। বিদ্যালয় এখন স্থাপন কৰে গাঁও ৰ ৰাইজৰ দান বৰঙনিৰেই,NOT
2908,সাগৰৰ পানী লুনিয়া দয়া দা তুমি ধুনীয়া,NOT
2909,নেতা কৰ পৰা হল ছাত্ৰসন্থা কৰিয়ে হল ন অসম চুক্তিক নচ্ছ্যাত কৰিব আহে এদিন এনেকোৱাকে গিৰিব তললে সকলোৱে লেই লেই চেই চেই কৰি মাদানিৰ মানুহ আপোনি হয় ছাগে কথাবোৰতে বুজা জাই ক্ষমতাৰ ভুকত পগলা দল বাগৰি ফুৰা সুবিধা লোৱা মানুহ হয় আপোনি,HOF
2910,একদম সেন্ধোৰ ফুটাত পৰা কে দিছা বাল,NOT
2911,"নাপাই নাপাই ,আশীৰ্বাদ হে জনাব লাগে ।",NOT
2912,ৰাণু মণ্ডল,HOF
2913,ই বোলে হিমু মামাৰ ভাগিন,HOF
2914,"কেতিয়াবা নিজৰ পইচা খৰচ কৰি গাঁৱলীয়া ৰাস্তা বনাই, সেইজনেই sukur ali.  কোন মন্ত্রীয়ে কি কৰে ময়ো ভালদৰে নাজানো। ",HOF
2915,দুই এক দাঁতো বহুৱালে...,NOT
2916,বাইদেউ বেঙেনা বিচাৰি আহিছিল চাগে বেচেৰি জনীক কিবা কৰি সহায় কৰা অ,HOF
2917,কোন সেই কেইটা কুকুৰ,HOF
2918,সোনকালেই দিব লাগে,NOT
2919,যিবোৰ শব্দৰ বাবে কোনো ধৰ্মৰ মানুহে অন্তৰত আঘাত পায় তেনেধৰণৰ শব্দ প্ৰয়োগ নকৰায় ভাল...,NOT
2920,তোমাৰ কথা খিনি হৃদয়ংগম কৰিছোঁ,NOT
2921,time8ৰ চাগে আৰু বাতৰি নাই সেয়েহে গেদানুভূতি দেখুৱাব আহিছে আৰু এই গেদাবুৰ জামান এটা মস্ত গেদা😆,HOF
2922,উচিত শাস্তি দিব লাগে,HOF
2923,এইবোৰক জীয়াই ৰাখিব নালাগে,HOF
2924,"বৰষা বা বহুত ভাল অ অন্তৰ খোলা মানুহ,বেয়া নাপাবা আৰু অলপ ধেমালি কৰিলে,",NOT
2925,৯ মাহৰ পিছত গম পাবি ।,HOF
2926,দিল্লীৰ মূখ্য মন্ত্ৰীৰ  লগত  আমাৰ মুখ্য মন্ত্ৰীৰ কেতিয়াও তুলনা নহয়। আমাৰ  মুখ্য  মন্ত্ৰীৰ বিৰদ্ধে দূৰ্নীতিৰ  অভিযোগ  আছে ।,HOF
2927,কাৰ অৱস্থা কি হয় সময়তহে গম পোৱা যাব🤣🤣,HOF
2928,এইবোৰ কৰাতকৈ গাৱে গাৱে গৈ প্ৰতিভাৱান ল'ৰা-ছোৱালীৰ নিউজ বনাবিচোন তেতিয়া চেনেলটোৰ নাম হ'ব।কাম নাই।,NOT
2929,তোৰ লৰা ছোৱালীয়ে তোক মা বুলি আনৰ আগত চিনাকী দিবলৈ লাজ পাব।,HOF
2930,নিউজটো আপোনাৰ কাৰণে চালো আপুনি বহূত ধুনিয়া,NOT
2931,কমতাপুৰ পোৱাৰ‌‌ আগতে জিভাখন অলপ ঘহি চাফা কৰি লওক,HOF
2932,তহঁতে পাৰ যদি কিবা এটা কিনি দে পূজা বুলি।,NOT
2933,"আমি হাত সাবটি বহি থাকিম,,",NOT
2934,"অসম আৰু অসমীয়াৰ কলংক তুমি, কা - আন্দোলনত যেতিয়া তুমি পাঁচ জন শ্বহীদৰ কেঁচা তেজেৰে ফাকু খেলিছিলা তেতিয়া তোমাৰ হৃদয় অকনো নকপিছিল।",NOT
2935,গেদার বাড়ী দাল সোমাই ভাল লাগে,HOF
2936,বহুত সুন্দৰ কথা কৈছে ধৰ্ম একে হলেও সাংস্কৃতিক ভাৱে পিঠক হয়,NOT
2937,তেতিয়া হে মই পুৰুষ আৰু মহিলাক সমান বুলি মানিম।,NOT
2938,হত্যাকাৰী হত্যাকাৰী তাক দুদিনৰ ভিতৰত ফাচি দিবলৈ দাবী জনোৱা আাইনী প্ৰক্ৰিয়া শক্তিশালী কৰিবলৈ দাবী জনোৱা,NOT
2939,বৰ্তমান যি অসমীয়াৰ সঙ্কত হয়তো এই বাৰেই তেওঁ লোকৰ সাবিয়াস পূৰ্ণ হ'ব অসম বিক্ৰী কৰিবলৈ এচাম উঠি পৰি লাগিছে,HOF
2940,ভূৱন ওৰফে বিশ্ব ( নামৰ সম্পৃক্ত)-ৰ ৰেহ-ৰূপ দেখোন মানুহৰ দৰে নহয়!?,HOF
2941,তাইক কলা বৰণৰ মানুহৰ দেশত পঠাই দিয়াৰ ব্যৱস্থা কৰক।,HOF
2942,মদাহী চাংবাদিকে এনেকুৱা ধৰনৰ নিউজ বিচাৰি পায়॥,HOF
2943,হাত ভৰি কেইটা গুৰি চপাই কাতি দিয়ক,HOF
2944,অবহেশত লৰাটো কিবা এটা অনুভৱ কৰা দেখিছো,NOT
2945,শিক্ষাৰ পয়া লগা ব্যৱস্থাতো আমি দেখুৱাব নোৱাৰো । আপোনাৰ সময় নষ্ট হব,HOF
2946,বেংকুলি ফেদাৰেচনৰ লিদা গিটাক লেংটা কৰি আঠু কৰাব লাগে,HOF
2947,আমি নাচিলে  নেদেখায়ে জে,NOT
2948,এই খন অসম হই ভাই,NOT
2949,তাইৰ বস্তু বোৰ সোণৰ নেকি,HOF
2950,ভাই টুমাৰ গোৰ কোট?,HOF
2951,অসমৰ বাবে কি কৰিছে ?,NOT
2952,ফাঁচী দিয়ক অতি শীঘ্ৰে,HOF
2953,"দীপক দা, মহাবিদ্যালয়ত দিয়া কেইটামান ভাষণ শুনি আপোনাৰ সুভাকাংক্ষী হৈ পৰিছিলো। ",NOT
2954,তোৰ বাপ আজমলক বিন লাডেনৰ দৰে লাগে,HOF
2955,এইটো কিবা নিউজ হল নে। বাৰু ফকতিয়া নিউজ সালা কাম নাইকীয়াহত।,NOT
2956,এইক্ষেত্ৰত কিছুমান নাৰীও কম নহয়। হাজাৰ নাৰীৰ ভিতৰত হাজাৰ শক্তি য়ে এক হৈ আপোনাক লগ দিয়ক।,NOT
2957,সুন্দৰ কন্ঠ দুয়োৰে ভাল লাগিল শুনি,NOT
2958,মিয়াৰ ভয়ত বাংলাদেশৰ পৰা পলাই আহি অসমত অসমীয়াক গালি পৰা বাংলাদেশী বঙাল.. 😁,HOF
2959,অপেক্ষা বাকীখিনিলৈ,NOT
2960,কিন্তু বেলেগক অন্তত লাই নিদিয়ে,NOT
2961,এইটোৰ নিচিনা নটি এটাক দেশৰ পৰা বাহিৰ কৰি দিব লাগে,HOF
2962,জুবিন দাৰ হৃদয় বিশালতা কাৰো লগতে তুলনা নহয় । জয় জুবিন দা,NOT
2963,।পাৰিলে মোক ক্ষমা কৰি দিব লিখাৰ কাৰনে।,NOT
2964,ই কালন্ত সাঁপটোৱে একনম্বৰ হাৰামি হয় চাল্লা! লীলিমাই কৰি গোটেই লাইট বন্ধ কৰিবলে কি দৰকাৰ হৈছিল তাৰ,HOF
2965,"শিল্পী আৰু গায়কৰ মাজত এক পাৰ্থক্য আছে । মানুহে যি টি গান গালেই গায়ক হয় , কিন্তু শিল্পী সত্তা হল এটা কলা , যিটো অতি দুৰ্লভ , zuben da ",NOT
2966,"অসুবিধা হ'লে আমিও ভাত বনাও , ",NOT
2967,গতিকে অসমীয়া + ইংৰাজী + হিন্দী = এটা মিশ্ৰিত মাধ্যম সৃষ্টি কৰিলে কেনে হয় বাৰু কাৰণ এনেয়ে আমাৰ নাম-ফলকবোৰৰ ৯৯%ই ইংৰাজীত থাকেই তদুপৰি আমাৰ দেশৰ মুদ্ৰাবোৰ ইংৰাজীতেই আছেচোন ।,NOT
2968,"মন্ত্ৰীত্বৰ লোভ সামৰিব নোৱাৰিলে,  চৰকাৰত থাকি নিলাজ কাৰবাৰ কৰে।",HOF
2969,পিছে সেইজনীক পুলিচে ধৰি খুউব ভাল কাম কৰিলে,NOT
2970,এজনে কাটি ব আন এজনে মলম লগাব এইয়াই টো ৰাজনীতি।।,HOF
2971,সুযোগ নেপাই যে বাইদেউ bodyguard লৈ ফুৰে ন,HOF
2972,হয় দাদা আপুনি ভাল কথাকে কয় ছে,NOT
2973,বেল লৈ খালাছ হৈ যাব,HOF
2974,আপোনাৰ প্ৰত্যেকটো  ত যুক্তি আছে দাদা ।,HOF
2975,ফালিব আগতে দুটাকৈ সমষ্টি গেলাই থৈছে ।,HOF
2976,বা আপোনি আগবাঢ়ি যাওক সদাই ।,NOT
2977,অনতিপলমে ফটোখিনি আমাৰ অস্থায়ী কাৰ্যালয়ত বিচাৰি থকা হৈছে।,NOT
2978,আচল কথাটো কৈ দিলেই হৈ যায় তহতে শাৰীৰিক সুখ দিব নোৱাৰ যিটো মিয়াই দিব পাৰে৷,HOF
2979,ষ্টাইল চা,HOF
2980,ক্ষেত্ৰত অসম দিল্লীৰ লগত হাৰি যাব ।,HOF
2981,আপুনি বিজেপিত যোগদান কৰিব নেকি?,NOT
2982,বেলেগ খবৰ নাই যদি দিব নালাগে।,NOT
2983,কিছুমানে অন্ধ কোঠাত বেশ্যা হৈছে,NOT
2984,সেইকাৰণে গেদাৰ হৈ দালালি কৰিবলৈ আহিছ 😂,HOF
2985,এটা কথাত আমি নিশ্চিত হ'ব লাগিব যাতে আমাৰ ভৱিষ্যত প্ৰজন্মই অন্তত এনেকুৱা ভুল নকৰে আৰু সেইয়া আমাৰ পৰম দায়িত্ব হোৱা উচিত।,NOT
2986,বহুত বেয়া লাগিছে দেই,NOT
2987,"তাৰ বাবে তেওঁলোকৰ ভাষা ,সাজ পোছাক নাইকিয়া হৈ যোৱা নাই ৷প্ৰয়োজন হলে এসাঁজ নাখাব লৰা ছোবালীক ইংৰাজী শিক্ষা দিব ৷ছাত্ৰ সন্থাৰ মতে অসম নচলে ৷",HOF
2988,"অবৈধ অস্ত্র-সস্ত্রৰ প্ৰশিক্ষন দি, মাতৃ-ভূমিক অশান্তি কৰা, উগ্ৰবাদী-আতংকবাদী-জেহাদীক, মুছলমান সকলে কেতিয়াও সমৰ্থন নকৰে !",HOF
2989,"মই ভাবো, নিজৰ ধৰ্মক কোনোবায়ে খুব ভাল পালে আনৰ ধৰ্মকো সন্মান কৰিব লাগে,",NOT
2990,"আমাৰ পাকঘৰলৈ আহিব চোন কেতিয়াবা নিউজ কৰিবলৈ , ",NOT
2991,অৰুণোদয় জিন্দাবাদ,NOT
2992,"সছা কথাবোৰ কিছুমান মানুহৰ গাত বৰকৈ বিন্ধে, সেয়ে নিজৰ মাজতে প্ৰতিবাদ অমুকাহত",HOF
2993,"এইবিলাক শিক্ষক নহয়, শিক্ষক নামৰ কলংক.......গোটেই কেইটাক জেলত ভৰাওঁক.....আৰু টিকাত কেইটামান লগাওঁক.......এইবিলাকৰ কাৰণে বহুত ভাল ছাত্ৰ-ছাত্ৰীয়ে  আশা কৰ মতে ফলাফল লাভ নকৰে......",HOF
2994,শুকুর আলী জিন্দাবাদ,NOT
2995,বৰ্ষা বা সঁচা মানুহ,NOT
2996,যদি তেমাৰ কথা খিনি সঁচাই তেন্তে নয়ন নীলিম সন্মুখনত থাকোতে কথাখিনি কোৱাৰ সাহস থাকিব লাগিছিল।,NOT
2997,কত কেতিয়া কি পৰিবেশত কেনে সাজপোচাকৰ জ্ঞান নথকাটোৱে অসংস্কৃতিবানকে বুজায় ।,NOT
2998,কোনোবা আশীকে এইটোক নিকাহ কৰিলেই নাটকৰ অন্ত পৰিব।,HOF
2999,নিৰ্মম সত্য কথা যে তুক বলতকাৰ কৰি মাৰি পেলাব লাগিছিল।,HOF
3000,অসমত যিমানবোৰ মোছোল মান আছে সেইবিলাক গতেই গেদা অসমত বেলেগ একো নাই খালী আছে,HOF
3001,আজি কালি সম্পৰ্কতকৈ টকাক মূল্য বেছি দিয়ে,NOT
3002,আপোনাৰ ভিডিও আজি প্ৰথম চাইছো দাদা...ভাল লাগিলে চাই,NOT
3003," জধা মূৰ্খ, কি কথা কব আহিছে, নিজৰ ভূল হলে শুই থাক, আনৰ ভূল খুচৰি থাক, আমাৰ মূৰ্খ কিছুমান ৰ কাৰণে এনে হৈছে",HOF
3004,সত্যৰ সদায় জয় আৰু অসত্যৰ মৰণ .....ইতিহাস প্ৰমাণ আছে,NOT
3005,ইয়াক ফাচি দিব নাগে৷নহলে সুবিধা পায় গৈ থাকিব এনেকোৱা এচামে৷,HOF
3006,ফাটা দাইলগ মাৰি থাকা কোৰি দেখুৱা নাম লৈইছা বি্ৰৰ কাম কৰা মেকুৰিৰ।,HOF
3007,"তাই নিজকে কি ভাবিছে নাজানো,,,,।",NOT
3008,টিৰপাল লগোৱা মাইকী যদি পাবলে এৰে তেন্তে এনকৈ আহি প্ৰলাপ বকে,HOF
3009,দা দা ইমান দিন কোট জিচিল হেলাই আচিলি এনকি চোৰোচোটিৰ নিবা নিবে ভিডিঅ' গিলাং চাই,NOT
3010,সকলো শেষ এতিয়া তাই বৰবাদ হব নহলে মই বৰবাদ হব,HOF
3011,দা দা আমি আপোনাৰ লগত আছো।,NOT
3012,"ৰাতি যেতিয়া কাৰেণ্ট নাথাকে তেতিয়া আমি জোনৰ পোহৰত কেনেকৈ মাছ , মাংস ৰান্ধি খাওঁ‌ ।",NOT
3013,"নিজান ঠাই তেতিয়া ????? পিচত তাই কবনে মোৰ কাপোৰ পিন্ধা ধং বেয়া আছিল বাবে মোৰ গাত দোষ,",HOF
3014,মানুহে এনেকুৱা ফটোৱা পাব্লিষিটি হজম নকৰে,NOT
3015,আনৰ কথাত গুৰুত্ব নিদিব বা...,NOT
3016,একো বিচাৰ নকৰাকৈ এনে নৰপিখাচক ৰাইজে মৰিয়া মৰিয়া মাৰিপেলাব লাগে,HOF
3017,ছিঃ ছিঃ ছিঃ ! জন প্ৰতিনিধি সকলৰ আচৰণে সভ্য সমাজক সঁচাকৈয়ে লজ্জানত কৰিছে । ধিক্কাৰ জনাইছোঁ ।,HOF
3018,ৰাতি ফুৰাব কেতিয়া নিব,HOF
3019,মাজুলীৰ পৰা সোণোৱাল ছাৰক নোৱাৰে। ঠিক তেনেকৈ প্ৰত্যেক সমষ্টিত একোজন বাঘা বাঘা নেতা আছে।,HOF
3020,"সাংবাদিকসকলৰ অৱস্থা,জ্ঞান, প্ৰশ্ন সোধাৰ ধৰণ দেখি লজ্জিত।",HOF
3021,পাগলা তোরাও,NOT
3022,বাইদেউ আপুনি অলপ মান ভয় খোৱা যেন লাগিছে হে।।। AAP আহক আৰু পৰিবৰ্তন কৰক।।,NOT
3023,তেওঁ শিকাৰু আৰু অধ্যয়নশীল মনটোৱে তেওঁক বিশ্বদৰবাৰলৈ লৈ যাব।,NOT
3024,কিন্তু মিঞা লৰা বা ছোৱালী বোৰক নিজৰ দেউতাকে গেদা বা ছেৰা আৰু,HOF
3025,তাঈক এৰেষট কৰি জেলত ভৰাই থব লাগে ।,NOT
3026,ভাল হৈছে 40 বছৰ জেল দিয়ক,NOT
3027,"বিৰোধী দলৰ হল বুলিয়েই ভাল কামটো বিৰুদ্ধাচৰণ কৰিব লাগিব বুলি কোনো কথা নাই। ধন্যবাদ, বৰদলৈ ডাঙৰীয়া ।",NOT
3028,এই জনীৰ কথা শুনি ঘুচিয়াই দিব মন যোৱা মোৰ বাহিৰে আৰু কোনোবা আছে নে?,HOF
3029,মৰতী জহনী তই বেঙী,HOF
3030,য'তেই নহওঁ‌ক কাৰোবাক এঘৰীয়া কৰিব লাগে বুলি যি প্ৰথমে কথাষাৰ উলিয়াই তাক দিনত নহ'লেও ৰাতি হ'লেও ঘপিয়াই ডিঙি ওলমাই দিব লাগে যাতে এই কামটো কৰিবলৈ মনত ভয় সোমাই,HOF
3031,সুন্দৰ লাগিলে,NOT
3032,এনে কাম কৰিব পৰা মানুহ আৰু অসমত নোলাব কিন্তো. ভাল লাগিলে কিন্তো,NOT
3033,আকৌ ছাত্ৰ আন্দোলন।কিয় বাবে বাবে অসমৰ ছাত্ৰ ছাত্ৰী য়ে অধিকাৰ বাবে আন্দোলন কৰিব লাগে।,NOT
3034,কাম ধান্দা নাইকিয়া সাংবাদিক |,HOF
3035,গোটেই ভাৰতক দিল্লী মডেল লাগে,NOT
3036,"আমি ওলাই আছো আপত যোগদান কৰিবলৈ,",HOF
3037,অসম তাৰমানে ছৌদী আৰবতকৈ ও পিছপৰা মহিলা অধিকাৰ ৰ ক্ষেত্ৰত।,NOT
3038,অই পোৱালি৷ বঙালৰ অবৈধ সন্তান নেকি তই৷ মুখ খন চম্ভালি কথা কবি৷,HOF
3039,"একো অভিযোগ নাই, শান্তিত আছোঁ",NOT
3040,"কথা বোৰ সঁচা, কিন্তু যি কথা আগত কৈ আহিছে তাৰ আখৰে আখৰে হোৱা নাই,",NOT
3041,জাত-পাতে সমস্যা হে বঢ়ায় ধৰ্ম ই অন্ধ বিশ্বাসী সৃষ্টি কৰে উন্নয়ন সাধন নকৰে ।,NOT
3042,কাল থেকে অপেক্ষায় ছিলাম এই গানটার জন্য তো ফাইনালি আইসা গেল এখন শুকুর আলী পস্তাও,NOT
3043,অসমীয়া জাতিৰ কাৰণে মৰিবলৈ ভয় নকৰু,HOF
3044,চাবি দেই তোৰ! সেইফালে গেদা সোমাই যাব! ভাল থাকিবি দেই!!!,HOF
3045,অসমত থাকি অসমীয়া কবলৈ লাজ থাকে নেকি ?,HOF
3046,আৰু বিখ্যাততু চাগে আপোনালোকৰ চেনেলতুয়ে বেছিকৈ কৰিলে যেন পালোঁ....,NOT
3047,আপোনাৰ ভিদিঅবোৰ চাই বহুত ভাল লাগে ।তেজপুৰ পৰা মৰম জনালোঁ আৰু সকলোৱে মোৰ চেনেলটি চাব বুলি আশা কৰিলো l l,NOT
3048,সাংবাদিক পাগল হ'ল,HOF
3049,ভাল হৈছে অসমৰ ইমূৰৰ পৰা সিমূৰলৈ চিনাকি কৰাই দিলে কিন্তু দেই মানিছো।,NOT
3050,যোগ্য থাকিব লাগে।,NOT
3051,হয় শুকুর আলী এদিন ভারতীয় জনতা দলর PM হব!,NOT
3052,কাৰণ এই পৃথিবীত অধিকাৰ নাপায় তাক কাঢ়ি লব লাগিব। ।।।,NOT
3053,তহতে চেলেকি থাক চৰকাৰ এখনে বিপদত এয়া কৰা কৰ্তব্চৰকাৰ নথকা সময়ত আন দলক দোষ দি লাভ নাই ..,HOF
3054,লুৰীণ জ্যোতি গগৈক বিজেপিত জয়িন কৰাই ৰামেশ্বৰ তেলীৰ থাইত প্ৰক্ষেপ কৰক,HOF
3055,যিহে পেন্ট পিন্ধিছে বলটো মাজভাগত লাগি গ'লে বিৰাট কোহলি হোৱা ওলাই যাব।😂,HOF
3056,তাইক গাহৰি দানা খাব দিয়ক,HOF
3057,"Himonto sir চৰকাৰ দিনত কি কি মানুহৰ ঘৰে চাকৰি পালে হেনো,,,কি দুখীয়া ঘৰত চোকা আৰু ধনী ঘৰ গেধা ,একো ketiyba ধনী ঘৰৰ চোকা দুখীয়া gedha,enkua কিবা আছে নি,,যাৰ যোগ্যতা আছে তেওঁ পাবই।",HOF
3058,জাল পাটচি,NOT
3059,আমাৰ চাৰ সকলে চৰকাৰী চাকৰি কৰি লাখ লাখ টকা ঘটি বেচৰকাৰী দামী দামী স্কুলত নিজৰ লৰা ছোৱালী বৰ মানুহ কৰা সপোন দেখা সকলে শিকক ।,HOF
3060,চাব মন নাই,HOF
3061,আমাৰ মেডিয়া বোৰে এনেকুৱা কথা বোৰত মূৰ নঘমায়,HOF
3062,তোক পালে যে তোৰ গীদা খন ফালিম বুনৰি কেলা,HOF
3063,আল্টিমেট আৰু,HOF
3064,ধোদাংৰ পৰা বহুত বহুত মৰম থাকিল,NOT
3065,"নিউজত কমেণ্ট দিয়া সকলক কি ভিত্তিত বাংলাদেশী মীয়া বুলি ক’লা ডকোমেন্টছ ক’ত নিৰীক্ষণ কৰিলা , ",NOT
3066,এইজনীক দেখাত আগৰ পৰাই ভূত যেন লাগেই।,NOT
3067,অসমৰ লৰা ছোৱালী চাকৰি কৰি বলৈ বাহিৰত যাব লগা হয় বা কৰিয়ে আছে।,NOT
3068,মাৰো লাথ,HOF
3069,আপোনালোকৰ আৰু কাম নাই নেকি,HOF
3070,এইজনি ফটো চাব নোৱাৰি ইমান বেয়াকৈ কাপোৰ পিন্ধে,HOF
3071,পতিজন সাংসদে যদি এনেকৈ অসম অসমীয়া ভাষা সংস্কৃতি ঐতিহ্যৰ কথা সদনত দাঙি ধৰি দাবী জনাই আহে তেতিয়াহে সকলোৱে অসম অসমীয়াৰ বিষয়ে জানিব ।,NOT
3072,তাক মোৰ আগত দে দাদা কাতি পেলাম,HOF
3073,অসমীয়াতে কওঁকচোন বাইদেউ,NOT
3074,"এখন বৃহৎ খেল অনুষ্ঠিত, পৰিচালনা কৰিবলৈ কিমান যতিল সেয়া আপোনালোকৰ দৰে কাম নাইকীয়া নিউজ চেনেলনে কি বুজিব, ",NOT
3075,ছোৱালী এজনিৰ লগত লৰা এটা ৰাতিটো অকলে থাকিলে কি হব এই সাংবাদিক জনে না জানে নেকি।,HOF
3076,তাৰোপৰি স্কুলৰ ছাত্ৰীক শিক্ষকে বা কোনো শিক্ষয়িত্ৰীক একেলগে কাম কৰা শিক্ষকে স্কুলৰ ভিতৰচৰাত যৌন সংগম কৰাৰ দৃশ্য ও দেখিছোঁ ।,HOF
3077,গৰু পিটন দিয়াৰ লগতে উচিত শাষ্টি দিয়ক,HOF
3078,ই বিজেপিলৈ যাব । ইয়াৰ ওপৰত দলে চকু ৰাখক ।,HOF
3079,তাইক মই লগ পোৱা নাই আৰু এদিনো দেখা নাই ' তাই আমাৰ মৰমৰ হে আপোন ।,HOF
3080,সকলো মানুহ সমান,NOT
3081,হতক media বিলাকে কিয় ইমান importance দিয়ে বুজি পোৱা নাই,NOT
