S. No.,text,task_1
1079,"ঘাস, রজনীগন্ধা ফুল মাখা বন্ধ করুন। দাম কমান... আপনি সুস্থ হয়ে যাবেন।",NOT
1080,ভারামোর একটা সীমা থাকা খুব দরকার,HOF
1081,"এই সবাই চুপ করো, দিদি বলেছে মানে এটাই ঠিক, এটাই শেষ কথা ।🤲",NOT
1082,হিন্দু ধর্মকে অপমান করা হচ্ছে।। শাস্তি হোক এই মেয়ের 😡😡,HOF
1083,আচ্ছা এটা তো কোর্ট এ বিচারাধীন সেখানেই ফয়সালা হোক,NOT
1084,"অশিক্ষিত শিক্ষা মন্ত্রী,ছি!",HOF
1085,বিজেপির গুজরাট মডেল।। এই গুজরাট এর কাছে আবার সিপিআইএম এর কেরেলা naki মডেল শিখবে বলছে।। সিপিআইএম বিজেপি মিলে মিশে একাকার।।।,HOF
1086,সমাজের কুলাঙ্গার গুলো এক জায়গায় হয়েছে,HOF
1087,মোদী এখন দেশ হয়ে গেছে বাহ্ বাহ্।মোদীর বিরুদ্ধে কেউ বললেই দেশদ্রোহী।আমার তো মনে হয় কাল যদি নেতাজীর যাগায় মোদীকে স্থান দিই তাহলে আমার থেকে বড় দেশপ্রেমী আর কেউ হবে না।,HOF
1088,"অপরিনত, অশিক্ষিত ক্ষমতলোলুপ নেতারা এই ভীষন পরিমিত, যুক্তিগ্রাহ্য কথাগুলো প্রেরনার কাছ থেকে শিখুন। যদি সদিচ্ছা থাকে।",NOT
1089,বাংলার উন্নয়ন দেখার জন্য জানালা দিয়ে বেরিয়ে এসেছে 🙏 জয় মা,NOT
1090,"আপনি রেডি থাকুন বরং। ওগুলো আপনার প্রয়োজন পড়বে। আর হ্যাঁ হসপিটালে একটা বেডও রেডি রাখুন। আপনার প্রয়োজন পড়বে। আমরা যে হাঁপিয়ে যাই না, শীঘ্রই তার প্রমান পাবেন।",HOF
1091,চাকরি কি তোমার বাপের সম্পত্তি না শুধু তোমার ছেলে মেয়ে পরবে। শালার বেটা এমন ছেলেদের চাকরি দিযেছিস ভালো করে তারাই লিখতে পারেনা,HOF
1092,"ওমা এবার ময়রা হলো কবে??? কতো গুনের অধিকারী সত্যিই ভাবতেই অবাক লাগে, কতো জন্মের পূর্ণের ফলে আপনাকে মুরখো মনতী পেয়েছি।",NOT
1093,"তোর জেনে রাখা ভালো যে,যে পৃথিবীতে বাস করছিস সেই পৃথিবী মেয়ে আর হিন্দুদের দেবী।",NOT
1094,"শোভনের কপালে দুঃখ আছে, মদন হাজির 😜",NOT
1095,ABP আনন্দে এখন ফালতু খবরে রমরমা। সমাজের নোংরা ঘটনা গুলি তুলে সমাজকে কলুষিত করে চলে। সমাজের দূষিত মানুষদের খবর পরিবেশন করে আপনাদের চ্যানেল ও সমাজের সুস্থ ভারসম্য ভীষণ ভাবে ক্ষতি করেছে।,NOT
1096,অখাদ্য মাখা খেয়ে এই অবস্থান,HOF
1097,নেতাদের চারিত্রিক বৈশিষ্ট্য যদি এমন হয় তা হলে সমাজ কে এরা কোথায় নিয়ে যাবে I,NOT
1098,"ঠিকই তো! সারা বছর পা চাটলো, নেতাদের গুনগান করল, এরা পাবে না তো কারা পাবে।",HOF
1099,"এই জন্যই ব্রাত্য, হবে তোর শ্রাদ্ধ।",NOT
1100,"সবাই মিলে বাংলার মিডিয়া কে বয়কট করা উচিত,এরা সমাজ কে রসাতলে নিয়ে যাচ্ছে,মানুষের প্রতিবাদের জায়গা কে নষ্ট করছে.... বর্তমান সরকার এর সাথে হাত মিলিয়ে এরা বাংলার মানুষ দের মানসিক ও আর্থিক ভাবে পঙ্গু করে দিচ্ছে...",HOF
1101,"ইস আমাদের কি সৌভাগ্য ওনার মতো একজন পিসিমনি পেয়েছি, অনেক দিন ধরে একটা বিজনেস করতে চেয়েছিলাম অবশেষে আমাগো পিসিমনি আমারে বাচাইলো এখন আমিও বড়লোক হব ও পিসি অনেক ধন্যবাদ",NOT
1102,"নোংরামির ও একটা সীমা থাকে আমরা সেই সীমাটাকেও অতিক্রম করে যাচ্ছি, shame shame ,আমরা আমাদের সামাজিক দায়িত্বটাই হারিয়ে ফেলছি.....",HOF
1103,তাহলে যোগ্যতার কোন দাম নেই শিক্ষা দীক্ষার কোন দাম নেই হায়রে শিক্ষা মন্ত্রী,HOF
1104,"হা এদের রাজনৈতিক বেবসা টা যখন মানদা পরে , খমতা নাই সন্মান নাই , তখন Congress মিডিয়া একটা মনপচন্দ ফটো পেয়ে লাফালাফি করছে , আর বিশেষ করে এই পেজের মালিক মুসলিম হবে , নয়তো মুসলিম এর জন্মা , একে kerela story মোভি খারাপ লেগেছে ,",HOF
1105,জেলখাটা চোর ও লম্পট নিয়ে আনন্দবাজারীয় মোচ্ছব। লজ্জা লাগে না,HOF
1106,"আরে ভাই এ কি পড়াশোনা করেছে, নাকি দিদির মুখেই তাকিয়ে ছিলো রে ভাই।",NOT
1107,আমাদের রাজ্যে পয়সা এবং ভাতা দিয়ে বুদ্ধিজীবী বানানো হয়। কোথায় ছিল এরা যখন হাজার হাজার বিজেপি সমর্থক ঘর ছাড়া হয়ে অন্য রাজ্যে আশ্রয় নিয়েছিল এবং তাদের অবর্তমানে তাদের বাড়িঘর সব জ্বালানো হয়েছিল এবং মা বোনেরা ধর্ষিতা হয়েছিল?,HOF
1108,এই কথাটি একমাত্র ছাপা শিক্ষা মুনতি বলেই এই কথাটি ব্যবহার করতে পারে।,NOT
1109,প্রেরণা তুমি অনেক অনেক বড় হও। আর এইভাবে আসল সত্যিটা চোখে আঙুল দিয়ে দেখিয়ে দাও।,NOT
1110,পাগলের প্রলাপ খুব বেশি বেড়েছে,HOF
1111,"সরকারি চাকরিটা তোর বাপের পৈতৃক সম্পত্তি না কি? সরকারি চাকরি মন্ত্রীদের কোটা হল কবে থেকে? তোর চাকরিটা তাহলে নিশ্চয়ই কোটাতে পেয়েছিস বাম আমলে, নিজের যোগ্যতায় পাস নি নিশ্চয়ই।",NOT
1112,বাবা মা কিভাবে স্কুল এর চাকরি পেয়ে ছিলেন একটু জানতে ইচ্ছে প্রকাশ করার অনুরোধ করছি। সেটা ন্যায় কি চিন্তা করে দেখো।,HOF
1113,"হ্যাঁ হ্যাঁ শৃঙ্খলাবদ্ধ দল তো বটেই , ভোটের সময় পারস্পরিক সব যুযুধান চোরের দল শৃঙ্খলাবদ্ধ । ভোটে না জিতলে আসল চুরির মওকাটাই নষ্ট হবে । তাই প্রশাসন কে কাজে লাগিয়ে জোর জবরদস্তি ভোটে জেতা । তারপর আবার যে কে সেই । ভাগের লড়াই ।",NOT
1114,"সমাজের কীট, সমাজকে ধীরে ধীরে ক্ষত করে দিছে।।",NOT
1115,"Ultimately বাবা মায়ের সম্পর্ক টা নষ্ট করা হলো সমাজে, লজ্জা লাগা দরকার",NOT
1116,ওইটুকুমেয়ে এত সুন্দর কথা বলতে পারে! এত গভীর তার চিন্তা ভাবনা! এত লজিক্যাল উপস্থাপনা! আমি অভিভূত। তুমি এগিয়ে চলো মা। তোমার জন্য অনেক আশীর্বাদ রইল।,NOT
1117,"ওদের সাখাত আনন্দের খবর হয়, আমরা ওসব ছিনালী করলে পাড়ার প্রতিবেশিরা ধরে স্যাটাভাঙা কেলিয়ে পাড়ার কালিমন্দিরে ধরে বিয়ে দিয়ে দিত",NOT
1118,বাপের ঘরের চাকরি 😛,NOT
1119,আমি ভাটের লেখা লিখতে পারি। নেবেন?,NOT
1120,আমাদের সকলের লজ্জা এটা। বুঝতে পারছিনা কিভাবে লোকটা এখনও ক্ষমতার শীর্ষে অধিষ্ঠিত! কঠোর থেকে কঠোরতম শাস্তির দাবি জানাই!,HOF
1121,পুরো কারাগার পেশেন্টের বাড়ির লোকজন কে দেখা করতে দেয় না ।শুধু টাকা টা সময় মতো নিয়ে নেয়,NOT
1122,"একটা মেয়ে কেরালা স্টোরি মুভিটা দেখে বাইরে সাংবাদিককে বলে যে, প্রত্যেক 18 বছর বয়সের মেয়েকে মুভিটা দেখা উচিত। এখন আমি দিদিটাকে কিছু বলার জন্য অনুরোধ করছি। 😤🤨",NOT
1123,"এনাকে অ্যারেস্ট করা উচিত😏, দেয়াল লিখে চাকরি দেবে",NOT
1124,তাই বলে দাদা আপনি মেয়ের উপরে চড়ে যাবেন 🤣🤣,HOF
1125,প্রেরণা কে শুভেচ্ছা। উজ্জ্বল ভবিষ্যৎ কামনা করি।,NOT
1126,"এদের মতো ভোট পাখিদের আমরাই ভোট দিয়ে জেতাই, দোষটা এই বানচোতদের তো নয়, দোষটা আমাদের",HOF
1127,এনারাই আমাদের সমাজের ভবিষ্যৎ এনাদের অনুপ্রেরণায় পরবর্তী জেনারেশন রসের তলে যাওয়ার রাস্তা পাকা করছে জয় মমতা জয় মদন জয় বৈশাখী বৌদি,NOT
1128,"আমিও শিহরিত হচ্ছি।শিহরিত,শিহরিত😊😊😊😊😊😊",NOT
1129,"যারা এইসব ফালতু নিউজ পরিবেশন করে তাকে বয়কট করে ব্লাকলিস্ট করা উচিত,...",NOT
1130,মানুষগুলো এমনভাবে শুনছেন আর লিখছেন। দেখে মনে হচ্ছে কলেজের স্টুডেন্ট,NOT
1131,পুলিশের কাছে অভিযোগ দায়ের করেন ওই সব ইউটিউবার লোক গুলোর নামে,HOF
1132,"ছেলে মেয়ে gulo আর স্কুল এ যায় না জানেন... সবাই বলে 'পড়াশুনো করে কি হবে কোনো লাভ নাই... কিছু হতে গেলে ঘুষ লাগবে নয় পার্টির দালাল "".... শিক্ষা টাকে কোন জায়গায় নিয়ে গেছে একবার ভাবতে পারছেন?🥲🥲... অন্তত শিক্ষাক্ষেত্রে দুর্নীতি টা বন্ধ থাকতো... শিক্ষার প্রতি মানুষের অনীহা জন্মে গেছে,🥲🥲🥲🥲 যার দায়ী শুধু সরকার....",HOF
1133,কয়েক বছর পর ১৮আবার ফিরছে। কবি সুকান্ত ভট্টাচার্যের কথায় এ দেশের বুকে ১৮ আসুক নেমে । তারুণ্য হোক আমাদের ভবিষ্যৎ। তুমি অনেক বড়ো হও মা।,NOT
1134,"হাকিম সাহেব কিছুই করতে, পারলেন না , মদন পরে সুযোগ পেলেই মালিশের নামে পালিশ করে দেবে।",NOT
1135,"এরাই হলো আসল বুদ্ধিজীবী মানুষ, এদের কে দেখলে আর এদের কথা শুনলে নিজেদের কে বাঙালি বলতে গর্বে বুক টা ফেটে যায়।",NOT
1136,তিন তিনটে আস্ত ছিনাল.......,HOF
1137,"শোভন্দা মদন্দা হইতে সাবধান , বং ক্রাশ মদন্দা কিন্তু নীল ধুতি পাঞ্জাবী পরে হিরো হয়ে বসে আছে , বৈশাখীকে তুলে নিয়ে পালাতে পারে 😂",NOT
1138,আর কত কিছু শিখতে হবে পিসির কাছ থেকে ।আর কিছু বলার নেই। এখনি বিদায় নিলে বাংলার মানুষ বেঁচে যাবে।,NOT
1139,সবাই ABP আনন্দ কে খারাপ বলছে তবে যুক্তি দিক থেকে বিচার করতে গেলে ABP আনন্দ ঠিকই করছে কারণ ওদের মানসিক দিক টা আমরা চিনতে পারছি যে তারা আমাদের ভবিষ্যৎ এর চিন্তা করার জন্য কতটা উপযুক্ত । এরা তো নিজেই পাগল দেশ কি সামলাবে। সবার ভবিষ্যত অন্ধকারে ঠেলে দিয়ে নিজেরা আনন্দ করছে । ধিক্কার জানাই। এতই যদি colourful হয়েছো তাহলে অ্যাক্টিং করো পলিটিক্স এর জন্য তুমি উপযৌক্ত নও।,HOF
1140,"এই খেলোয়ার মহিলাটা ৩ তালাক আইন বাতিল করার সময় ভারতে, মোদি সরকারের পক্ষ নিয়েছিল মুসলিমদের বিপক্ষে. |",HOF
1141,এই মাথামোটার খুলির ভেতর কি আছে দেখতে ইচ্ছে করছে। প্রধানমন্ত্রী মমতা ! LMAO,HOF
1142,"এই কথা প্রকাশ্যে বলার পরেও উনি শিক্ষামন্ত্রী, এটাই অনেক বড়",NOT
1143,"অপুলবো...হাচবো না কানবো...না পারটি করবো,কিছু ঠাওর করতে পারছি না",NOT
1144,"সংবিধানের কত নম্বর ধারায় কোটা কথাটা আছে।তুমি মন্ত্রী সবার,,TMC নয়।",NOT
1145,প্রকৃত শিক্ষার অভাব যে অন্যের ধর্মকে সম্মান করতে জানেনা সে নিজের ধর্ম কে সম্মান করবে কিভাবে. #Kolkata Police,HOF
1146,"আপনি জনগণের মন্ত্রীত্ব ছেড়ে আপনার দিদিভাই আর ক্যাডারদের মন্ত্রী হয়ে থাকুন। আমাদের কাছে ভোট চাইতে এলে অপমানিত হতে হবে। মনে রাখতে হবে। "" কাকে দিলি রাজার পার্ট!"" মুর্খ রাজার অশিক্ষিত মন্ত্রী!",HOF
1147,"কলেজ খুলে লাভ নেই, পার্টি করলেই চাকরি পাবে, শিক্ষা মন্ত্রী হিসেবে উনার কথা একদম সমর্থন করি।",NOT
1148,দাদা একটু শান্ত হোন পাবলিক বলে কিছু আছে আর তারা কেলিয়ে ফাটিয়ে দিতে এ পারে এটাও তাদের অধিকার।এই মার তাও তারা পারে🤣🤣😂😂😂😂😂😅😅😅😅,NOT
1149,বাজে কিছু না খাওয়ানোই ভালো।,NOT
1150,এদের রাজ্যকে নিয়ে ভাবার সময় কোথায়?!মনে হচ্ছে কলেজের প্রেমিক প্রেমিকা।,NOT
1151,মেয়ে বলে বলে মুরুগঝুটিটা উলটে দিলেন স্যার??,HOF
1152,জনগণকে শোষণ করে আনন্দ উল্লাসের আসল রূপটাই এরকম।,NOT
1153,"সত্যি বলতে কি এসব বক্ত্যব বোঝার মতো শক্তি সবার কাছে থাকে না, তাই তারা ভুল ব্যাখ্যা করে বসেন, আর আমার মতে এসব কথা গুরুত্ব না দিয়ে নিজের লক্ষ্যে অবিচল থাকা ।",NOT
1154,"তো এই প্রতিবাদ আরো 30, 40 , 20 10 , 50 বছর আগে করেন নি কেনো? আজ হঠাৎ প্রতিবাদ? আর কাঁটা তার তো আজকের নয়। হয়তো বাড়ানো হচ্ছে। কেনো হবে না? আর যারা 2 দেশের মাঝখানে থাকে, শুধু ভোটের সময় এসে ভোট দিয়ে যায় তাদের নিয়ে কেনো এতো দিন প্রতিবাদ করেন নি যে তাদের এই রাজ্যের অন্তর্ভুক্ত করা হোক। আজ এই 75 বছর পর এতো বোধদয়। আসলে আপনাদের প্রতিবাদ টা সেই সব মানুষ বা কাঁটা তারের জন্য নয় এটা বিজেপি কে না পসন্দের জন্য। এদিকে রাজ্যের অনেক কিছু অন্যায় দেখেও মুখ বুজে থাকেন। তখন আর প্রতিবাদের স্বর গলা দিয়ে বেরোয় না। তাই আজ আর আপনাদের প্রতিবাদের কোনো দাম নেই। আপনারা হলেন এই সমাজের সব থেকে বড়ো hypocrite। সুবিধাবাদী, স্বার্থপর। 🤨🤨",HOF
1155,জঘন্য চ্যানেল।,HOF
1156,"বিজেপিকে কর্ণাটকের মতো হারাতে হবে . হারালেই সব ঠিক হয়ে যাবে ভারতবর্ষে। এবং বিজেপি মুক্ত দেশ করে করে আবার স্বাধীন করতে হবে ভারতবর্ষকে, হিন্দু মুসলিম বৌদ্ধ খ্রিস্টান সবাই এক হতে হবে 🙏🙏🙏",NOT
1157,"সাপোর্ট করছি wrestlers দের। তবে ভোট দোবো মোদিকে। মোদির সব কাজকে সমর্থন করিনা, তবে এই মুহূর্তে ওনাকেই দরকার",NOT
1158,লজ্জা লজ্জা লাগা দরকার এদের,NOT
1159,বিরাট ফাইভ স্টার হোটেলের শেফ এসেছে। মুখ খুললেই ভাঁটের কথা। আবার সামনে সব অফিসিয়াল রা বাধ্য ছেলের মতো এগুলো লিখছে। হায় কপাল।,NOT
1160,পুজোর ভীমরতি একেই বলে --- মদ অন,HOF
1161,"বাহ্ দিদি এতো দিন পর হঠাৎ প্রতিবাদ এতোদিন কোথায় ছিলেন!!?? যখন ভোট পরবর্তী হিংসা হলো, নৃশংস খুন হলো মানুষ । বাংলাদেশে হিন্দুদের উপর অত্যাচার হলো, সাম্প্রদায়িক দাঙ্গা হলো, হিন্দু নিধন হলো, তখন বুঝি কথা বলতে খুব কষ্ট হচ্ছিল। প্রতিবাদের মুখ তখন কি বিক্রি হয়ে গেছিল ? ছিঃ ছিঃ ছিঃ.....!!!!!!",HOF
1162,"এখানে দেখছি অনেক মুসলিমরা কমেন্ট এ এসে হাগছে, তাদের বলতে চাই 28 তারিখে দিল্লিতে একটা হিন্দু মেয়েকে মুসলিম ছেলে 16 বার ছুরি মেরেছে তার পর আবার পাথর দিয়ে মাথা থেঁতলে দিয়েছে। তখন তো আপনারা খুব খুশি হয়েছিলেন, উত্তর দিনাজপুর ডিস্ট্রিক্ট এ একটার পর একটা হিন্দু মেয়েকে প্রেমের জালে ফাঁসিয়ে গ্যাং-রেপ করে হত্যা করা হচ্ছে তখন তো আপনারা খুশি তে নাচতে শুরু করেন। আজকে দেখছি পুরো ব্যাপার টাই উল্টে গেছে, কি ব্যাপার???",HOF
1163,"উনার ন্যাচারাল কথাবার্তা গুলোর মধ্যে একটা ভারিক্কি ভাব রয়েছে, যেটা শুনে আমার খুব ভাল লাগল।",NOT
1164,এদের চুরির টাকা ফ্ল্যাট নেবার সময় মা বা অন্য কেউ অসুস্থ হয় না ইডি সিবিআই ডাকলেই বাড়ির লোক অসুস্থ হয়ে পরে কেনো?,HOF
1165,যে জাতির মিডিয়া ও নেতৃত্বের এই রুচি সাথে তথাকথিত শিক্ষিকা সেই জাতির বিনাশ কেউ আর রোধ করতে পারবে না।,NOT
1166,"আসল কথা হল যে চাকরি পাবে তার মধ্যে সে ট্যালেন্ট আছে কি নেই সেটা দেখার দরকার নেই পার্টি করলেই চাকরি পাওয়া যাবে,, তাহলে আমাদের ভবিষ্যতের বাচ্চারা ফিউচার ডুম নয় ফুটোর ডুম ফুটোর ডুম এটাই শিখবে,,, এইভাবে বাংলা উন্নতি করবে বাঁড়ার বাল করবে",NOT
1167,"এমন নির্বোধ, অহঙ্কারী রাজ্যের চাকরি কারো ব্যক্তিগত আইনি অধিকার। তাহলে বিগত সরকারের কাজের সমালোচনা করার নৈতিক অধিকার কি এই সরকারের নেতা নেত্রীদের আছে কি?",NOT
1168,জাতীয় সংগীত বিকৃতি করাতে আমার সেই মেয়ে দুটির গ্রেফতার এর দাবি তুলেছিলাম সেই রকম এই মেয়েটি কেও অবিলম্বে গ্রেফতার করা হোক।,HOF
1169,"এবার আপনার হাতকড়া পড়া ছবি শিগগির দেয়াল এ লেখা হবে, যদি অমন মানসিকতা পোষণ করে থাকেন আজীবন।।।।",NOT
1170,তোর বাপের চাকরি .খানকির ছেলে.,HOF
1171,ভারতের সরকার পরিবর্তন আনতে হবে তাহলেই ভারতে শান্তি ফিরে আসবে তা না হলে সারা জীবন এইভাবেই চলতেই থাকবে হিন্দু vs মুসলমান,NOT
1172,"ওদের মতবাদ ও আদর্শ ভারতবর্ষের সভ্যতা , সংস্কৃতি, আদর্শ ও সংবিধানের সঙ্গে মেলে না ।",NOT
1173,এদের ভীমরতী দেখে নিব্বা নিব্বা ও লজ্জা পাবে।,NOT
1174,এগুলো কি মহামান্য সুপ্রিম কোর্টের প্রধান বিচারপতি র দৃষ্টিআকর্ষন করেনা😥😥😥,NOT
1175,এনার বাবা চাকরি গুলো কিনে রেখে দিয়েছিল তাই টো তিনি কোটার চাকরির কথা বলছে। নেতাদের কোটার চাকরি তুলে দেওয়া উচিত,NOT
1176,"মুসলিমরা যা করে তাদের ধর্মের স্বার্থের জন্যই করে, এগুলো শুধু তাদের অজুহাত ।।",HOF
1177,"সব ব্যাপারে পারদর্শিনী, বাপ রে বাপ, কত কিছু জানে, উনি এটা ভূলে যান যে, ওনার চেয়ে ভালো জাননেওয়ালাও আছে।",NOT
1178,সত্যিই আপনারা ২ পয়সার মিডিয়া ।চটি চাটুন ভাই কেউ আপনাদের না করবে না ।,HOF
1179,বৈশাখী মনে হচ্ছে দিন দিন কচি খুকি হচ্ছে বয়স তা বাড়ছে লক্ষ্য রাখবেন লজ্জা শরমের মাথা খেয়ে তো বসে আছেন আপনার মতন বেহায়া মেয়েছেলে বোধহয় দুনিয়ায় দেখা যায় না।,HOF
1180,এতদিন গর্তের মধ্যে ঢুকে বসেছিলেন কোনো অন্যায় কাজের প্রতিবাদ করেননি যখন তখন ভালো কাজের প্রতিবাদ করবেন না,HOF
1181,এবিপি আনন্দ খবর সংগ্রহের কাজ ছেড়ে মধুমক্ষির সন্ধানে। এগিয়ে বাংলা এগিয়ে আনন্দ।,HOF
1182,"একটু ধৈয্যধরুন -দেখবেন আগামী লোকসভা ভোটে এরা কংগ্রেসের টিকিট পাবেই | কারো বিরুদ্ধে অভিযোগ আনলেই হয়না , অভিযোগ প্রমান করতে হয় | আর ওদের অভিযোগের ভিত্তিতে তো সুপ্রিমকোর্টের তত্ত্বাবধানে তদন্ত হচ্ছে -তবে দেশের সংসদভবন উদ্বোধনের দিনে বিশৃঙ্খলা তৈরির প্রচেষ্টা কেন ? তবেকি মোদী সরকারের কোনো দুর্নীতির গন্ধ না পেয়ে বিরোধী গোষ্ঠীর নতুন চাপদেওয়ার কৌশল নয় এটা ? এরা অভিযোগ করেছে - কোর্টের নজরদারিতে তদন্ত হচ্ছে , তবে সমস্যা কোথায় ?",NOT
1183,"এখনো জেলে গিয়ে পারেনি বলে আপনার কতা নেকেছেন , জেলে গেনে হুলো টাকে আর নীন নঙে দেকা যেতো নি গো 😭🤣🤣🤣🤣🤣🤣",HOF
1184,এই মালগুলোর জন্য আমাদের ভারতের এই অবস্থা,NOT
1185,নাটকের ডায়ালগ!,NOT
1186,"আসলে সত্যি কথা সবাই হজম করতে পারেনা,,,,,তুমি নিজেই বুঝতে পারছো ,,, আগামী তে আরও ভাল করে বুঝতে পারবে ,,,, একদমই ভয় পাবে না ,,,, এখনও ভালো লোক সমাজে বেঁচে আছে ,,,,, তারা তোমাকে তোমার এই সুন্দর এবং সত্যি কথা শুনে খুব খুশি ,,,,, তারা তোমাকে দুহাতে আশির্বাদ করছে এবং করবে ,,,,,,",NOT
1187,আপনার মতো সবাই যদি ভাবত তাহলে তো কনো পোষ্টেই ফাকা পড়ে থাকতো না। আর সবাই যদি চাকরি করে তাহলে তৃনমূল কে করবে,NOT
1188,যা এইবার চাকরী বাঁচা গিয়ে বদ্জাত।,HOF
1189,"আপনাদের এত সিরিয়াস রিএকশন দিতে হবে না। আমি সাধারণ ক্ষোভ থেকে বলেছি, কিছুই মিন করি নি। ওর সুস্থতা কামনা করছি।",NOT
1190,"নীতিহীন নেতা, চটি চাতার দল",HOF
1191,সোভনবাবু জিনিসটা মদোনদা চুরি করে নিবে সামলে রাখুন👩‍⚖️,NOT
1192,পাবে পাবে সব পাবে । তোমাদের মুখেই তো এই গান মানায়।,NOT
1193,ডিপলি ভেবে দেখোতো এটা কি মানা যায়!😥 এরা আমাদের জনপ্রতিনিধি,NOT
1194,কি! বুধবার ঈদ? ঈদ আগামীকাল মঙ্গলবার। আজ 30টি রোজা পূর্ণ হচ্ছে। অতএব আগামীকাল ঈদ নিয়ে আর কোন জটিলতা রইল না।,NOT
1195,অসাধারণ এই কথোপকথন টা...অনেক কিছু শিখলাম ❤❤,NOT
1196,সোনার বাংলার সোনার ইতিহাস,NOT
1197,"দুটো বুড়ো মোষ, একটি জলহস্তী 👌👌",HOF
1198,"ABP আনন্দ কে ধিক্কার জানাই এই সব চরিত্রহীন আর মাতালদের নিয়ে খবর করার জন্য। ভালো কিছু দেখান, অনেক ভালো লোক আছে তাদের নিয়ে খবর করুন মানুষ ভালো বলবে।",NOT
1199,"সায়নী  ঘোষ কি এমন আন্দোলন করেছেন, যুব তৃনমূল এর সভানেত্রী😅😅😅😅😅😅😅😊😅😅😊😅😅😅😅😅😅😅😅😅এই সব লুজ ক্যারেক্টার, দলের শেষ করে দিলো, ছিঃ",HOF
1200,বরাহনন্দন বলার কি দরকার নেই।,NOT
1201,এদের কি চোখে লজ্জা পটি কিছু নেই,HOF
1202,"দার্শনিক রোদ্দুর রায় কবি মহাকর্মা, সে আসলে একজন মানুষ ধর্মা,",NOT
1203,ঘাস মাখা টা ওই দিন online এ খাইলাম,NOT
1204,আর মেয়ে যখন প্রাপ্তবয়স্ক হয় তখন কিছুটা দূরত্ব বজায় রাখতে হয়।,NOT
1205,পাকা আমের জুস করে তার মধ্যে কটা ফুলুরি দিয়ে প্যাকেট করলে কেমন হয়,NOT
1206,একে কেউ নোবেল দাও।,NOT
1207,ইসসসস।এদের এত পাত্তা দেন কেন।অসভ‍্য,HOF
1208,"একজন Athlete হলো সেই দেশের সম্পদ। এই কথাটা জার্মানি, ফ্রান্সের মতো দেশ বুঝেছে। তারা বুঝেছে কোনো রাজনৈতিক দল প্রতিবছর যাবে ও আসবে কিন্তু দেশকে গোটা পৃথিবীর কাছে তুলে ধরবে এই Athlete রাই, কোনো রাজনৈতিক নেতা নয়। তাই সেই সব দেশে একজন Athlete এর দাম একজন নেতার থেকে অনেক বেশি। তাই তারা এগিয়ে। আমরা তা বুঝিনি। যেই দেশে, এই সব মানুষ গুলোর কোনো দাম নেই সেই দেশের পা দুটো অচল তা বলাই বাহুল্লো....",NOT
1209,এদের লজ্জা ঘৃণা বোধ কিছু নেই। তেমন হয়েছে আমাদের সাংবাদিক,HOF
1210,"আর ওরা করের টাকায় দলের প্রার্থী মনোনয়নের জন্য টাকা উড়িয়ে যাবে, নয় তো বেচে খাবে।",NOT
1211,"নিজের হাতে ইট বয়ে মমতা ব্যানার্জি কত গ্রামের রাস্তা তৈরি করেছিলেন। সত্যিই, এই মেয়েটার কত প্রতিভা। তাও একটুও অহংকার নেই ❤",NOT
1212,বোন আমি এক জন মুসলিম আর আমি জানি মুসলিম ধর্মে কোথাও নেই যে হিন্দু ধর্ম কে অসম্মান করতে। অন্যের ধর্মকে সম্মান করুন তবে নিজের ধর্ম কে দেখবে লোক সম্মান করবে। I ❤️my 🇮🇳🇮🇳🇮🇳🇮🇳,NOT
1213,"লজ্জা এদের নয়,আমাদের লজ্জা এদের কে আমরা নির্বাচন করি।",HOF
1214,দালাল বুদ্ধিবি# গুলোর পকেটে আবার টাকা ঢুকেছে আবার নাটক শুরু।বাংলাদেশ এর দুর্গা প্রতিমা ভাঙা নিয়ে একটা কথাও বলেনি এই দালাল গুলো,HOF
1215,সনাতন ধর্ম বাচলে ওরাও বাইরে। তাই আগে ধর্ম বাচাতে হবে।,NOT
1216,"বাবা মেয়ের কি সুন্দর সম্পর্ক, I'm তো অবাক 🤐, মনে হচ্ছে বাবা জনি দা আর মেয়ে সানি🤐🤐😅😅",HOF
1217,দেওয়ালে মুতা মন্ত্রী।,NOT
1218,হিন্দু ধর্মে মেয়েদেরকে বড়ই স্বাধীনতা দিয়েছে তাই না😁😁😁,NOT
1219,"আমার সাদা মনে দুইখান কোশ্ন আইসে,,, এক. ছোট বাবার মেয়ের ছোট মা কেন ক্যামেরার সামনে এলেন না,, আর দুই. ছোট বাবার মেয়ের আসল মা কি বাড়ি গিয়ে মেয়েকে শুটিয়ে লাল করে দিয়ে ফাজলামো বার করে দিয়েছেন??",HOF
1220,সমাজের দূষিত মানুষদের খবর পরিবেশন করে আপনাদের চ্যানেল ও সমাজের ভীষণ ক্ষতি করেছে।,NOT
1221,লজ্জ্যা নেই কাদের ?যারা এই ধরনের খবর পরিবেশন করে। সমাজের চতুর্থ স্তম্ভের ভূমিকা !!!,HOF
1222,এরা মহা মহা নাটকবাজ। প্রমান থাকলে আদালতে গিয়ে প্রমান দিক। নাটকের প্রয়োজন হবে না। মানুষ ও পাশে থাকবে।,HOF
